,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist
1335,0.656,0.715,8,-6.136,0,0.0477,0.418,0.000108,0.201,0.92,97.559,audio_features,6sXZpWYwFJ8JaN3q6kLkCV,spotify:track:6sXZpWYwFJ8JaN3q6kLkCV,https://api.spotify.com/v1/tracks/6sXZpWYwFJ8JaN3q6kLkCV,https://api.spotify.com/v1/audio-analysis/6sXZpWYwFJ8JaN3q6kLkCV,310213,4,Cinco Noches,Various Artists
1336,0.74,0.724,10,-6.822,0,0.0806,0.685,3.92e-06,0.211,0.778,99.472,audio_features,0rPIqoH6EP15IlGAuhs8Xi,spotify:track:0rPIqoH6EP15IlGAuhs8Xi,https://api.spotify.com/v1/tracks/0rPIqoH6EP15IlGAuhs8Xi,https://api.spotify.com/v1/audio-analysis/0rPIqoH6EP15IlGAuhs8Xi,309982,4,Acércate,Jeremy Bosch
1337,0.659,0.821,7,-5.409,1,0.0418,0.282,7.01e-05,0.239,0.903,97.862,audio_features,36mzQZO3Oln4VTrJJyFQl1,spotify:track:36mzQZO3Oln4VTrJJyFQl1,https://api.spotify.com/v1/tracks/36mzQZO3Oln4VTrJJyFQl1,https://api.spotify.com/v1/audio-analysis/36mzQZO3Oln4VTrJJyFQl1,281427,4,Un Tipo Como Yo,Willie Rosario
1338,0.742,0.697,2,-5.76,0,0.0637,0.273,0.000568,0.023,0.858,179.862,audio_features,4guUX2YppY1kPGpjDaenhQ,spotify:track:4guUX2YppY1kPGpjDaenhQ,https://api.spotify.com/v1/tracks/4guUX2YppY1kPGpjDaenhQ,https://api.spotify.com/v1/audio-analysis/4guUX2YppY1kPGpjDaenhQ,270864,4,Carro de Fuego,Guayacán Orquesta
1339,0.796,0.65,4,-6.642,0,0.0403,0.576,5.05e-06,0.0948,0.901,143.848,audio_features,61p1Ha5D8jCY42BnocQu5j,spotify:track:61p1Ha5D8jCY42BnocQu5j,https://api.spotify.com/v1/tracks/61p1Ha5D8jCY42BnocQu5j,https://api.spotify.com/v1/audio-analysis/61p1Ha5D8jCY42BnocQu5j,388160,4,Te Estan Buscando,Rubén Blades
1340,0.462,0.83,1,-2.866,1,0.0433,0.478,6.6e-05,0.283,0.819,175.26,audio_features,4TlKKyNg7S07aEgoh8eEw5,spotify:track:4TlKKyNg7S07aEgoh8eEw5,https://api.spotify.com/v1/tracks/4TlKKyNg7S07aEgoh8eEw5,https://api.spotify.com/v1/audio-analysis/4TlKKyNg7S07aEgoh8eEw5,278920,4,Lo Que Pasó Entre Tú y Yo Pasó,Víctor Manuelle
1341,0.643,0.602,5,-9.28,0,0.0438,0.667,8.62e-05,0.276,0.961,83.778,audio_features,2HbmLkHkkI15eES8kpWRuI,spotify:track:2HbmLkHkkI15eES8kpWRuI,https://api.spotify.com/v1/tracks/2HbmLkHkkI15eES8kpWRuI,https://api.spotify.com/v1/audio-analysis/2HbmLkHkkI15eES8kpWRuI,311400,4,Ven Devórame Otra Vez,Lalo Rodriguez
1342,0.702,0.801,2,-5.113,0,0.0553,0.728,1.09e-05,0.298,0.593,93.171,audio_features,4e8sb5gR73rQVgdARJ59Dm,spotify:track:4e8sb5gR73rQVgdARJ59Dm,https://api.spotify.com/v1/tracks/4e8sb5gR73rQVgdARJ59Dm,https://api.spotify.com/v1/audio-analysis/4e8sb5gR73rQVgdARJ59Dm,258636,4,Todavía,Nacho Acero
1343,0.45,0.936,4,-4.315,1,0.0504,0.106,2.84e-05,0.377,0.841,93.84,audio_features,33KyLofurq1qZ6kpF6J9Hi,spotify:track:33KyLofurq1qZ6kpF6J9Hi,https://api.spotify.com/v1/tracks/33KyLofurq1qZ6kpF6J9Hi,https://api.spotify.com/v1/audio-analysis/33KyLofurq1qZ6kpF6J9Hi,325133,4,Volverás,Víctor Manuelle
1344,0.732,0.722,3,-5.757,0,0.0315,0.358,0.0,0.106,0.756,142.964,audio_features,1Ql6nNEgjJbVo52HeDUV2Q,spotify:track:1Ql6nNEgjJbVo52HeDUV2Q,https://api.spotify.com/v1/tracks/1Ql6nNEgjJbVo52HeDUV2Q,https://api.spotify.com/v1/audio-analysis/1Ql6nNEgjJbVo52HeDUV2Q,257010,4,Un Beso de Su Boca,Maía
1345,0.649,0.811,8,-3.844,1,0.0349,0.467,0.0,0.323,0.916,92.38,audio_features,1fFFfScICtJAKawW7nhZ6d,spotify:track:1fFFfScICtJAKawW7nhZ6d,https://api.spotify.com/v1/tracks/1fFFfScICtJAKawW7nhZ6d,https://api.spotify.com/v1/audio-analysis/1fFFfScICtJAKawW7nhZ6d,267280,4,Me Va Extrañar,Yiyo Sarante
1346,0.8,0.667,2,-7.516,0,0.0371,0.456,0.000118,0.0531,0.759,90.031,audio_features,1u9hIjUGsPULzCgAPJwj0y,spotify:track:1u9hIjUGsPULzCgAPJwj0y,https://api.spotify.com/v1/tracks/1u9hIjUGsPULzCgAPJwj0y,https://api.spotify.com/v1/audio-analysis/1u9hIjUGsPULzCgAPJwj0y,274144,4,El Tiempo Será Testigo,Rubén Blades
1347,0.525,0.704,9,-5.801,0,0.0501,0.353,5.26e-06,0.0743,0.855,98.455,audio_features,4pUmQqaZklcCOB3rFdWc7g,spotify:track:4pUmQqaZklcCOB3rFdWc7g,https://api.spotify.com/v1/tracks/4pUmQqaZklcCOB3rFdWc7g,https://api.spotify.com/v1/audio-analysis/4pUmQqaZklcCOB3rFdWc7g,289293,4,Valió la Pena - Salsa Version,Marc Anthony
1348,0.806,0.833,9,-4.397,0,0.0538,0.414,0.0,0.331,0.918,96.717,audio_features,77zrNNK2FcNwjtGXOsH4R2,spotify:track:77zrNNK2FcNwjtGXOsH4R2,https://api.spotify.com/v1/tracks/77zrNNK2FcNwjtGXOsH4R2,https://api.spotify.com/v1/audio-analysis/77zrNNK2FcNwjtGXOsH4R2,260432,4,Soltero,Grupo Niche
1349,0.732,0.772,0,-4.011,1,0.0429,0.308,0.0,0.302,0.929,99.846,audio_features,5HSwllNqvkk6lwpDrSvHvw,spotify:track:5HSwllNqvkk6lwpDrSvHvw,https://api.spotify.com/v1/tracks/5HSwllNqvkk6lwpDrSvHvw,https://api.spotify.com/v1/audio-analysis/5HSwllNqvkk6lwpDrSvHvw,236427,4,Vamos (feat. Gilberto Santa Rosa),Mario Ortiz Jr.
1350,0.718,0.576,10,-5.988,0,0.0365,0.37,0.0,0.286,0.811,92.416,audio_features,39cz1Ua6M1YFAjxKxipgOK,spotify:track:39cz1Ua6M1YFAjxKxipgOK,https://api.spotify.com/v1/tracks/39cz1Ua6M1YFAjxKxipgOK,https://api.spotify.com/v1/audio-analysis/39cz1Ua6M1YFAjxKxipgOK,300907,4,Tú Cómo Estás,Domingo Quiñones
1351,0.812,0.434,2,-11.503,1,0.0544,0.17,1.61e-05,0.0824,0.696,124.309,audio_features,1cj9F5IjrRLy9XyytUMfgy,spotify:track:1cj9F5IjrRLy9XyytUMfgy,https://api.spotify.com/v1/tracks/1cj9F5IjrRLy9XyytUMfgy,https://api.spotify.com/v1/audio-analysis/1cj9F5IjrRLy9XyytUMfgy,264522,4,Barranquilla Y Carnaval,Guayacán Orquesta
1352,0.851,0.825,7,-3.812,1,0.158,0.242,0.0,0.0867,0.733,104.977,audio_features,6vj4z8xXfG2qKpfT5je3uk,spotify:track:6vj4z8xXfG2qKpfT5je3uk,https://api.spotify.com/v1/tracks/6vj4z8xXfG2qKpfT5je3uk,https://api.spotify.com/v1/audio-analysis/6vj4z8xXfG2qKpfT5je3uk,188365,4,Suma y Resta,El Micha
1353,0.714,0.891,2,-4.223,1,0.0344,0.608,6.71e-06,0.288,0.652,97.073,audio_features,0W8NvcMsIuygeFnfNz2KnC,spotify:track:0W8NvcMsIuygeFnfNz2KnC,https://api.spotify.com/v1/tracks/0W8NvcMsIuygeFnfNz2KnC,https://api.spotify.com/v1/audio-analysis/0W8NvcMsIuygeFnfNz2KnC,241760,4,Lo Que Te Di,Marc Anthony
1354,0.544,0.771,2,-7.53,1,0.0436,0.426,0.00265,0.0624,0.824,88.539,audio_features,23Vb5teQKNSNvPgUjLtI8j,spotify:track:23Vb5teQKNSNvPgUjLtI8j,https://api.spotify.com/v1/tracks/23Vb5teQKNSNvPgUjLtI8j,https://api.spotify.com/v1/audio-analysis/23Vb5teQKNSNvPgUjLtI8j,333560,4,La Murga,Willie Colón
1355,0.667,0.941,4,-3.243,0,0.0414,0.63,0.0002,0.325,0.747,173.875,audio_features,02zyl88XvRAQdwbzLQui8y,spotify:track:02zyl88XvRAQdwbzLQui8y,https://api.spotify.com/v1/tracks/02zyl88XvRAQdwbzLQui8y,https://api.spotify.com/v1/audio-analysis/02zyl88XvRAQdwbzLQui8y,267333,4,Enamórate Bailando,Septeto Acarey
